siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,endDate
CO90,2,2018,100,100,100,.284,.029,.014,.100,.147,.428,.097,.248,5.927,4.509,3176.000,11.405,4,28,"Jan 30 2018 12:00AM","Feb 27 2018 12:00AM"
CO90,3,2018,100,100,100,.261,.029,.022,.061,.377,.714,.086,.317,5.900,5.385,3086.900,10.897,5,35,"Feb 27 2018 12:00AM","Apr  3 2018 12:00AM"
CO90,4,2018,75,100,89,.127,.013,.010,.016,.219,.394,.028,.199,5.651,3.460,4021.000,11.557,3,28,"Apr  3 2018 12:00AM","May  1 2018 12:00AM"
CO90,5,2018,25,100,23,.108,.013,.011,.015,.157,.439,.029,.151,5.560,3.100,1386.000,10.541,1,28,"May  1 2018 12:00AM","May 29 2018 12:00AM"
CO90,6,2018,40,100,80,.121,.016,.052,.017,.227,.506,.036,.208,5.390,4.500,2409.700,5.689,1,35,"May 29 2018 12:00AM","Jul  3 2018 12:00AM"
CO90,7,2018,75,100,89,.168,.019,.028,.013,.736,1.087,.047,.351,5.572,7.131,3944.800,7.252,3,28,"Jul  3 2018 12:00AM","Jul 31 2018 12:00AM"
CO90,8,2018,100,100,100,.217,.025,.045,.027,.423,.969,.065,.318,5.577,5.929,1213.800,1.788,4,28,"Jul 31 2018 12:00AM","Aug 28 2018 12:00AM"
CO90,9,2018,60,100,66,.112,.013,.015,.013,.487,1.134,.044,.295,5.570,5.500,703.600,2.592,1,35,"Aug 28 2018 12:00AM","Oct  2 2018 12:00AM"
CO90,1,2019,87,87,100,.013,.003,.002,.005,.100,.200,.009,.073,5.436,2.554,2759.800,4.065,4,31,"Jan  2 2019 12:00AM","Jan 29 2019 12:00AM"
CO90,10,2019,88,88,100,.284,.030,.024,.018,.106,.296,.036,.182,5.970,3.302,2415.600,8.738,3,32,"Oct  1 2019 12:00AM","Oct 29 2019 12:00AM"
CO90,11,2019,100,100,100,.047,.004,.008,.009,.151,.337,.021,.094,5.361,3.039,2285.900,6.477,4,35,"Oct 29 2019 12:00AM","Dec  3 2019 12:00AM"
CO90,12,2019,96,96,100,.011,.003,.002,.005,.034,.140,.009,.082,5.205,2.782,1888.000,5.207,3,28,"Dec  3 2019 12:00AM","Dec 30 2019 12:00AM"
CO90,2,2019,88,88,100,.042,.003,.010,.013,.093,.242,.029,.077,5.329,3.051,1097.700,3.785,4,32,"Jan 29 2019 12:00AM","Feb 26 2019 12:00AM"
CO90,3,2019,100,100,100,.044,.003,.004,.011,.147,.357,.023,.136,5.401,3.223,4987.300,12.878,5,31,"Feb 26 2019 12:00AM","Apr  2 2019 12:00AM"
CO90,4,2019,100,100,100,.113,.012,.012,.016,.199,.427,.032,.152,5.690,3.410,4245.300,9.042,4,28,"Apr  2 2019 12:00AM","Apr 30 2019 12:00AM"
CO90,5,2019,82,82,100,.113,.012,.009,.023,.334,.757,.045,.194,5.794,4.248,6541.100,12.319,4,34,"Apr 30 2019 12:00AM","May 28 2019 12:00AM"
CO90,6,2019,100,100,100,.194,.022,.037,.027,.482,.901,.071,.315,5.696,6.103,4741.300,8.280,5,24,"May 28 2019 12:00AM","Jul  2 2019 12:00AM"
CO90,7,2019,47,93,88,.167,.020,.030,.028,.527,.866,.064,.421,5.738,6.135,1883.200,3.429,2,30,"Jul  2 2019 12:00AM","Jul 30 2019 12:00AM"
CO90,8,2019,40,100,95,.089,.010,.014,.014,.285,.658,.036,.255,5.121,4.681,3908.100,6.223,2,35,"Jul 30 2019 12:00AM","Sep  3 2019 12:00AM"
CO90,9,2019,54,100,55,.281,.029,.020,.019,.377,.969,.054,.338,5.815,5.700,2153.900,5.975,2,26,"Sep  3 2019 12:00AM","Oct  1 2019 12:00AM"
CO90,1,2020,85,85,100,.143,.010,.009,.033,.096,.366,.042,.195,5.211,4.256,676.400,3.708,4,34,"Dec 30 2019 12:00AM","Jan 28 2020 12:00AM"
CO90,10,2020,57,100,23,.427,.058,.255,.048,.105,.451,.083,.272,5.910,5.500,281.900,2.667,1,35,"Sep 29 2020 12:00AM","Nov  3 2020 12:00AM"
CO90,11,2020,81,100,97,.106,.010,.021,.009,.161,.246,.011,.104,5.740,2.843,2012.400,4.521,3,26,"Nov  3 2020 12:00AM","Dec  1 2020 12:00AM"
CO90,12,2020,88,88,100,.095,.009,.015,.017,.147,.517,.031,.137,5.404,3.462,1133.400,3.683,4,32,"Dec  1 2020 12:00AM","Dec 29 2020 12:00AM"
CO90,2,2020,100,100,100,.048,.005,.004,.016,.148,.277,.024,.102,5.576,2.767,4042.100,11.503,5,28,"Jan 28 2020 12:00AM","Mar  3 2020 12:00AM"
CO90,3,2020,100,100,100,.130,.011,.011,.023,.305,.484,.033,.191,5.912,3.847,3456.900,9.093,4,28,"Mar  3 2020 12:00AM","Mar 31 2020 12:00AM"
CO90,4,2020,88,88,100,.121,.013,.011,.013,.206,.241,.023,.135,5.926,2.987,4279.700,13.538,4,32,"Mar 31 2020 12:00AM","Apr 28 2020 12:00AM"
CO90,5,2020,100,100,100,.225,.025,.025,.030,.582,.671,.054,.310,6.011,6.349,4075.800,6.248,5,31,"Apr 28 2020 12:00AM","Jun  2 2020 12:00AM"
CO90,6,2020,25,100,51,.243,.030,.059,.052,.365,.545,.082,.281,5.820,5.400,1515.700,4.369,1,28,"Jun  2 2020 12:00AM","Jun 30 2020 12:00AM"
CO90,7,2020,41,82,84,.218,.026,.029,.031,.442,.761,.063,.323,5.952,5.528,2135.500,3.912,2,34,"Jun 30 2020 12:00AM","Jul 28 2020 12:00AM"
CO90,8,2020,27,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,2.972,0,26,"Jul 28 2020 12:00AM","Sep  1 2020 12:00AM"
CO90,9,2020,93,93,100,.265,.024,.035,.008,.126,.154,.020,.058,6.097,3.093,1335.900,2.794,2,30,"Sep  1 2020 12:00AM","Sep 29 2020 12:00AM"
CO90,1,2021,100,100,100,.128,.013,.027,.039,.229,.451,.055,.208,5.558,4.382,621.500,3.607,5,31,"Dec 29 2020 12:00AM","Feb  2 2021 12:00AM"
CO90,10,2021,45,68,72,.197,.014,.021,.015,.338,.522,.030,.226,5.898,4.413,475.700,2.362,2,31,"Sep 28 2021 12:00AM","Oct 19 2021 12:00AM"
CO90,2,2021,100,100,100,.336,.036,.018,.100,.144,.245,.099,.208,5.729,4.701,3109.700,10.973,4,24,"Feb  2 2021 12:00AM","Mar  2 2021 12:00AM"
CO90,3,2021,75,100,85,.334,.018,.022,.061,.267,.383,.048,.240,6.008,4.853,3834.900,13.665,3,28,"Mar  2 2021 12:00AM","Mar 30 2021 12:00AM"
CO90,4,2021,100,100,100,.430,.034,.027,.074,.501,.643,.080,.317,6.519,7.076,3629.700,8.534,3,28,"Mar 30 2021 12:00AM","Apr 27 2021 12:00AM"
CO90,5,2021,80,100,92,.133,.013,.011,.026,.283,.408,.034,.177,5.888,3.656,8607.700,18.136,4,35,"Apr 27 2021 12:00AM","Jun  1 2021 12:00AM"
CO90,6,2021,75,100,96,.084,.010,.017,.006,.286,.507,.028,.204,5.617,3.939,5703.600,9.246,2,28,"Jun  1 2021 12:00AM","Jun 29 2021 12:00AM"
CO90,7,2021,80,100,95,.167,.019,.034,.014,.425,.974,.040,.276,5.442,6.214,5885.400,11.151,4,35,"Jun 29 2021 12:00AM","Aug  3 2021 12:00AM"
CO90,8,2021,75,100,94,.155,.027,.047,.021,.219,.549,.043,.193,5.612,4.180,1741.100,3.073,3,28,"Aug  3 2021 12:00AM","Aug 31 2021 12:00AM"
CO90,9,2021,75,100,87,.216,.021,.054,.032,.492,.798,.066,.270,5.947,5.531,900.500,1.727,2,28,"Aug 31 2021 12:00AM","Sep 28 2021 12:00AM"
