"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","airtemp_avg","hmp3",-0.83938,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","airtemp_max","hmp3",1.076,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","airtemp_min","hmp3",-8.32,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","DTR","hmp1",9.277,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","DTR","hmp2",9.401,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","DTR","hmp3",9.396,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","airtemp_avg","hmp1",-7.09162,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","airtemp_max","hmp1",-4.938,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","airtemp_min","hmp1",-9.56,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","airtemp_avg","hmp2",-7.14549,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","airtemp_max","hmp2",-4.963,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","airtemp_min","hmp2",-9.65,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","airtemp_avg","hmp3",-7.02861,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","airtemp_max","hmp3",-4.867,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","airtemp_min","hmp3",-9.49,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","DTR","hmp1",4.622,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","DTR","hmp2",4.687,"n"
"raw hmps",2017-01-10,2017,1,10,"c1","cr1000","DTR","hmp3",4.623,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","airtemp_avg","hmp1",-5.64682,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","airtemp_max","hmp1",-3.348,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","airtemp_min","hmp1",-7.973,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","airtemp_avg","hmp2",-5.68965,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","airtemp_max","hmp2",-3.42,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","airtemp_min","hmp2",-8.04,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","airtemp_avg","hmp3",-5.58787,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","airtemp_max","hmp3",-3.324,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","airtemp_min","hmp3",-10.95,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","DTR","hmp1",4.625,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","DTR","hmp2",4.62,"n"
"raw hmps",2017-01-11,2017,1,11,"c1","cr1000","DTR","hmp3",7.626,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","airtemp_avg","hmp1",-6.84,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","airtemp_max","hmp1",-2.656,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","airtemp_min","hmp1",-8.76,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","airtemp_avg","hmp2",-6.89546,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","airtemp_max","hmp2",-2.752,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","airtemp_min","hmp2",-8.81,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","airtemp_avg","hmp3",-6.78287,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","airtemp_max","hmp3",-2.656,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","airtemp_min","hmp3",-8.64,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","DTR","hmp1",6.104,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","DTR","hmp2",6.058,"n"
"raw hmps",2017-01-12,2017,1,12,"c1","cr1000","DTR","hmp3",5.984,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","airtemp_avg","hmp1",-4.94543,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","airtemp_max","hmp1",0.519,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","airtemp_min","hmp1",-9.95,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","airtemp_avg","hmp2",-4.98897,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","airtemp_max","hmp2",0.567,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","airtemp_min","hmp2",-10,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","airtemp_avg","hmp3",-4.87982,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","airtemp_max","hmp3",1.126,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","airtemp_min","hmp3",-9.86,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","DTR","hmp1",10.469,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","DTR","hmp2",10.567,"n"
"raw hmps",2017-01-13,2017,1,13,"c1","cr1000","DTR","hmp3",10.986,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","airtemp_avg","hmp1",-8.23232,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","airtemp_max","hmp1",0.036,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","airtemp_min","hmp1",-13.57,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","airtemp_avg","hmp2",-8.30849,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","airtemp_max","hmp2",-0.034,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","airtemp_min","hmp2",-13.64,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","airtemp_avg","hmp3",-8.15385,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","airtemp_max","hmp3",0.037,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","airtemp_min","hmp3",-13.43,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","DTR","hmp1",13.606,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","DTR","hmp2",13.606,"n"
"raw hmps",2017-01-14,2017,1,14,"c1","cr1000","DTR","hmp3",13.467,"n"
