"data_source","date","yr","mon","doy","local_site","logger","metric","temp","flag"
"raw logger",1992-12-31,1992,12,366,"sdl","cr21x","airtemp_max",-6.761,NA
"raw logger",1993-01-01,1993,1,1,"sdl","cr21x","DTR",6.534,NA
"raw logger",1993-01-01,1993,1,1,"sdl","cr21x","airtemp_min",-10.35,NA
"raw logger",1993-01-01,1993,1,1,"sdl","cr21x","airtemp_avg",-7.43,NA
"raw logger",1993-01-01,1993,1,1,"sdl","cr21x","airtemp_max",-3.816,NA
"raw logger",1993-01-02,1993,1,2,"sdl","cr21x","airtemp_avg",-7.85,NA
"raw logger",1993-01-02,1993,1,2,"sdl","cr21x","airtemp_min",-11.01,NA
"raw logger",1993-01-02,1993,1,2,"sdl","cr21x","DTR",7.616,NA
"raw logger",1993-01-02,1993,1,2,"sdl","cr21x","airtemp_max",-3.394,NA
"raw logger",1993-01-03,1993,1,3,"sdl","cr21x","airtemp_min",-26.72,NA
"raw logger",1993-01-03,1993,1,3,"sdl","cr21x","DTR",16.81,NA
"raw logger",1993-01-03,1993,1,3,"sdl","cr21x","airtemp_max",-9.91,NA
"raw logger",1993-01-03,1993,1,3,"sdl","cr21x","airtemp_avg",-17.94,NA
"raw logger",1993-01-04,1993,1,4,"sdl","cr21x","airtemp_avg",-18.11,NA
"raw logger",1993-01-04,1993,1,4,"sdl","cr21x","DTR",15.16,NA
"raw logger",1993-01-04,1993,1,4,"sdl","cr21x","airtemp_min",-26.55,NA
"raw logger",1993-01-04,1993,1,4,"sdl","cr21x","airtemp_max",-11.39,NA
"raw logger",1993-01-05,1993,1,5,"sdl","cr21x","DTR",9.69,NA
"raw logger",1993-01-05,1993,1,5,"sdl","cr21x","airtemp_min",-19.21,NA
"raw logger",1993-01-05,1993,1,5,"sdl","cr21x","airtemp_avg",-15.07,NA
"raw logger",1993-01-05,1993,1,5,"sdl","cr21x","airtemp_max",-9.52,NA
"raw logger",1993-01-06,1993,1,6,"sdl","cr21x","airtemp_avg",-11.94,NA
"raw logger",1993-01-06,1993,1,6,"sdl","cr21x","airtemp_min",-15.46,NA
"raw logger",1993-01-06,1993,1,6,"sdl","cr21x","DTR",6.64,NA
"raw logger",1993-01-06,1993,1,6,"sdl","cr21x","airtemp_max",-8.82,NA
"raw logger",1993-01-07,1993,1,7,"sdl","cr21x","airtemp_min",-10.01,NA
"raw logger",1993-01-07,1993,1,7,"sdl","cr21x","DTR",3.693,NA
"raw logger",1993-01-07,1993,1,7,"sdl","cr21x","airtemp_max",-6.317,NA
"raw logger",1993-01-07,1993,1,7,"sdl","cr21x","airtemp_avg",-8.61,NA
"raw logger",1993-01-08,1993,1,8,"sdl","cr21x","airtemp_min",-16.18,NA
"raw logger",1993-01-08,1993,1,8,"sdl","cr21x","DTR",13.787,NA
"raw logger",1993-01-08,1993,1,8,"sdl","cr21x","airtemp_max",-2.393,NA
"raw logger",1993-01-08,1993,1,8,"sdl","cr21x","airtemp_avg",-8.02,NA
"raw logger",1993-01-09,1993,1,9,"sdl","cr21x","airtemp_min",-16.22,NA
"raw logger",1993-01-09,1993,1,9,"sdl","cr21x","airtemp_avg",-12.45,NA
"raw logger",1993-01-09,1993,1,9,"sdl","cr21x","DTR",9.448,NA
"raw logger",1993-01-09,1993,1,9,"sdl","cr21x","airtemp_max",-6.772,NA
"raw logger",1993-01-10,1993,1,10,"sdl","cr21x","DTR",10.637,NA
"raw logger",1993-01-10,1993,1,10,"sdl","cr21x","airtemp_max",-5.613,NA
"raw logger",1993-01-10,1993,1,10,"sdl","cr21x","airtemp_min",-16.25,NA
"raw logger",1993-01-10,1993,1,10,"sdl","cr21x","airtemp_avg",-11.87,NA
"raw logger",1993-01-11,1993,1,11,"sdl","cr21x","airtemp_min",-21.85,NA
"raw logger",1993-01-11,1993,1,11,"sdl","cr21x","DTR",16.194,NA
"raw logger",1993-01-11,1993,1,11,"sdl","cr21x","airtemp_max",-5.656,NA
"raw logger",1993-01-11,1993,1,11,"sdl","cr21x","airtemp_avg",-12.13,NA
