eco_year,sumallPC1,sumallPC2,MAT,wnt_meanT,spr_meanT,sum_meanT,fal_meanT,tot_precip,wnt_precip,spr_precip,sum_precip,fal_precip,moisturedeficit,sum_moisturedeficit,fal_moisturedeficit,PET,spr_PET,sum_PET,fal_PET,GDD,sum_GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,iceoff_GL4
2004,-0.5821864491297262,0.26760055437048474,-2.1530054644808745,-10.780219780219781,-3.1032608695652173,6.271739130434782,-1.0824175824175823,957.79,235.95,296.79,271,154.05,12.978121583182492,3.4250255949726847,9.553095988209806,303.04770144875056,36.23721674956871,196.6841254300556,70.12635926912628,396,274.5,65,36,91,103,189
2005,-0.021866091265166025,-0.1057265354926652,-1.6246575342465754,-8.916666666666666,-4.081521739130435,7.918478260869565,-1.5769230769230769,961.46,289.38,274.56,215,182.52,20.15132244036046,14.618871659193694,5.532450781166763,288.27480951054855,28.62908305585939,197.3381610151019,61.91530868893843,482.5,375.5,77,22,94,115,196
2006,0.5793496099352878,0.05094586828387309,-1.2767123287671234,-11.322222222222223,-3.032608695652174,8.956521739130435,0.08791208791208792,1074.27,391.17,259.35,219,204.75,51.48538273065795,23.511674012072376,27.973708718585574,333.45326701408817,35.51151998872521,218.0117071506871,79.93003987467587,583.5,416.5,74,34,109,130,186
2007,0.5057531458483594,0.7908738837396612,-1.510958904109589,-10.494444444444444,-2.8315217391304346,9.38586956521739,-2.3076923076923075,968.61,299.13,234,228,207.48,28.031584766836747,9.152889515626377,18.87869525121037,293.2758284263805,30.332268016226198,213.77823898549093,49.16532142466336,563,466.5,59,46,110,110,182
2008,-0.16627079885626833,0.6081190177597295,-2.5068306010928962,-12.587912087912088,-5.864130434782608,8.179347826086957,0.16483516483516483,1084.52,409.11,346.71,239,89.7,2.8245785307469884,0.922169437487983,1.9024090932590052,293.28894024573793,18.35451586613708,202.80908281712811,72.12534156247277,531.5,400.5,79,47,65,121,192
2009,-0.44970725758011965,-0.6142349603787332,-1.9219178082191781,-10.438888888888888,-4.010869565217392,6.907608695652174,-0.3131868131868132,861.24,345.54,241.02,153,121.67999999999999,16.69867559085715,14.590527722821186,2.108147868035964,304.00896686093745,27.718211804161456,201.1077976204098,75.18295743636618,426.5,310.5,76,54,93,130,196
2010,-0.07326753931997573,0.015489843299631288,-3.0453424657534245,-12.607222222222223,-5.428260869565217,8.016304347826088,-2.3626373626373627,945.09,315.9,280.8,192,156.39,27.297458596754726,2.8701257036573096,24.427332893097418,271.4075533132142,13.910585066668004,202.391542330515,55.105425916031145,442.65,358.5,86,37,117,138,191
2011,-0.05389515949554554,1.0924054264582912,-1.9573972602739727,-11.023888888888889,-4.967391304347826,9.172282608695653,-1.1994505494505494,1465.45,492.18,428.22,313,232.04999999999998,36.995622326042046,4.466423908930188,32.52919841711186,300.96523749561135,9.184823861065002,212.3111765317671,79.46923710277926,579.9,440.25,68,55,106,139,217
2012,1.5509588473081042,1.069579553836429,-0.789207650273224,-11.478021978021978,-1.3315217391304348,10.575543478260869,-1.0417582417582418,856.95,323.31,90.09,270,173.55,30.426255864710235,15.45818664361393,14.968069221096304,327.9588579618405,41.57828649132461,222.66590097886967,63.71467049164626,710.9,548.5,23,33,108,135,168
2013,0.5852453976149473,0.5051920205929704,-1.401917808219178,-10.761111111111111,-5.078260869565217,9.470652173913043,0.5791208791208791,783.45,234.78,265.2,177,106.47,17.320335471886658,0.9884581039950051,16.331877367891654,308.0832436950707,22.648130505275812,214.99132940212036,70.44378378767453,608.35,459.7,68,40,119,133,188
2014,-0.10755315085999018,0.005315330536190545,-1.4513698630136986,-10.013333333333334,-4.091847826086957,8.044565217391304,0.08571428571428576,1167.92,335.79,356.07,182,294.06,3.299977259227389,2.601082359820631,0.6988948994067581,295.5861354502446,28.76717504175292,199.57454406702686,67.24441634146486,509.25,385.75,65,54,114,151,196
2015,-0.5643332491066851,-1.0551735682311076,-1.459095890410959,-8.555,-4.251195652173913,6.378695652173913,0.4576923076923077,916.27,343.21,276.44,155.05,141.57,28.119530817862998,21.0924818368222,7.0270489810408,292.26831764987196,6.198626833119105,198.23107105771223,85.39250399300661,390.185,259.085,93,50,99,145,189
2016,-0.8134483893952907,-0.5345164001474124,-3.5079781420765026,-12.403406593406594,-6.584021739130435,6.478260869565218,-1.5986813186813187,958.68,285.47,321.65,167,184.56,58.8519198043699,6.162231862010427,52.68968794235947,274.99497742378617,4.4530772888249786,189.85590938777113,80.68599074719008,368,274.5,94,48,77,127,192
2017,0.25988296569158775,0.3903139579681072,-0.704904109589041,-10.379777777777777,-3.7620652173913043,8.880434782608695,2.2637362637362637,1029.51,461.9,285.11,187.73,94.77,34.19403791064457,2.110107604787888,32.08393030585668,346.8066765617579,21.537807041028987,212.6561852689999,112.61268425172902,560.9571187502618,411,66,38,117,121,199
