"spp_gains","plot","year","event","rem","nut","USDA_code","USDA_name","growth_habit"
NA,"CXC",2006,5,"X","C",NA,NA,NA
"CHIJAM","CXC",2007,6,"X","C","CHJA","Chionophila jamesii","forb"
"FESBRA","CXC",2007,6,"X","C","FEBR","Festuca brachyphylla","graminoid"
NA,"CXC",2008,7,"X","C",NA,NA,NA
"POAGLA","CXC",2009,8,"X","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,"CXC",2010,9,"X","C",NA,NA,NA
NA,"CXC",2011,10,"X","C",NA,NA,NA
NA,"CXC",2012,11,"X","C",NA,NA,NA
NA,"CXC",2013,12,"X","C",NA,NA,NA
"CARHET","CXC",2014,13,"X","C","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
"POAARC","CXC",2014,13,"X","C","POARG","Poa arctica ssp. grayana","graminoid"
"CERARV","CXC",2015,14,"X","C","CEARS2","Cerastium arvense ssp. strictum","forb"
NA,"CXN",2003,2,"X","N",NA,NA,NA
"BISVIV","CXN",2004,3,"X","N","POVI3","Polygonum viviparum","forb"
"CHIJAM","CXN",2004,3,"X","N","CHJA","Chionophila jamesii","forb"
"AREFEN","CXN",2005,4,"X","N","ARFE3","Arenaria fendleri","forb"
"DANINT","CXN",2005,4,"X","N","DAIN","Danthonia intermedia","graminoid"
NA,"CXN",2006,5,"X","N",NA,NA,NA
NA,"CXN",2007,6,"X","N",NA,NA,NA
"POAGLA","CXN",2008,7,"X","N","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,"CXN",2009,8,"X","N",NA,NA,NA
NA,"CXN",2010,9,"X","N",NA,NA,NA
NA,"CXN",2011,10,"X","N",NA,NA,NA
NA,"CXN",2012,11,"X","N",NA,NA,NA
NA,"CXN",2013,12,"X","N",NA,NA,NA
"POAARC","CXN",2014,13,"X","N","POARG","Poa arctica ssp. grayana","graminoid"
"CERARV","CXN",2015,14,"X","N","CEARS2","Cerastium arvense ssp. strictum","forb"
"GENAMA","CXN",2015,14,"X","N","GEAM3","Gentianella amarella","forb"
"STEUMB","CXN",2016,15,"X","N","STUM","Stellaria umbellata","forb"
"DRACRA2","CXN",2017,16,"X","N","DRCR2","Draba crassifolia","forb"
"ALLGEY","CXN",2018,17,"X","N","ALGE","Allium geyeri","forb"
"CARNOV","CXN",2018,17,"X","N","CANO3","Carex nova","graminoid"
"CHIJAM","CXX",2003,2,"X","X","CHJA","Chionophila jamesii","forb"
"MERLAN","CXX",2003,2,"X","X","MELA3","Mertensia lanceolata","forb"
"RHORHO","CXX",2003,2,"X","X","RHRH4","Rhodiola rhodantha","forb"
"POAGLA","CXX",2004,3,"X","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
"TRISPI","CXX",2004,3,"X","X","TRSP2","Trisetum spicatum","graminoid"
"AREFEN","CXX",2005,4,"X","X","ARFE3","Arenaria fendleri","forb"
"DANINT","CXX",2005,4,"X","X","DAIN","Danthonia intermedia","graminoid"
"ERIPIN","CXX",2005,4,"X","X","ERPI6","Erigeron pinnatisectus","forb"
"LEWPYG","CXX",2005,4,"X","X","LEPY2","Lewisia pygmaea","forb"
"RANADO","CXX",2005,4,"X","X","RAAD","Ranunculus adoneus","forb"
"GENAMA","CXX",2006,5,"X","X","GEAM3","Gentianella amarella","forb"
"LUZSPI","CXX",2006,5,"X","X","LUSP4","Luzula spicata","graminoid"
"ACHMIL","CXX",2007,6,"X","X","ACMIA","Achillea millefolium var. alpicola","forb"
"FESBRA","CXX",2007,6,"X","X","FEBR","Festuca brachyphylla","graminoid"
"MINOBT","CXX",2007,6,"X","X","MIOB2","Minuartia obtusiloba","forb"
NA,"CXX",2008,7,"X","X",NA,NA,NA
"ALLGEY","CXX",2009,8,"X","X","ALGE","Allium geyeri","forb"
NA,"CXX",2010,9,"X","X",NA,NA,NA
"POAALP","CXX",2011,10,"X","X","POAL2","Poa alpina","graminoid"
NA,"CXX",2012,11,"X","X",NA,NA,NA
NA,"CXX",2013,12,"X","X",NA,NA,NA
"CARHET","CXX",2014,13,"X","X","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
"SWEPER","CXX",2014,13,"X","X","SWPE","Swertia perennis","forb"
"CERARV","CXX",2015,14,"X","X","CEARS2","Cerastium arvense ssp. strictum","forb"
"ERIMEL","CXX",2015,14,"X","X","ERME2","Erigeron melanocephalus","forb"
NA,"CXX",2016,15,"X","X",NA,NA,NA
"PACCRO","CXX",2017,16,"X","X","PACR5","Packera crocata","forb"
"SAXRHO","CXX",2018,17,"X","X","SARH2","Saxifraga rhomboidea","forb"
