site,yr,date,plotid,clean_code2,hits
nutnet,2013,2013-07-28,B1_7,SELA,3
nutnet,2013,2013-07-28,B1_7,SIACS2,3
nutnet,2013,2013-07-28,B1_7,SOSIN,4
nutnet,2013,2013-07-28,B1_7,TEACC,1
nutnet,2013,2013-07-28,B1_7,TEGR3,10
nutnet,2013,2013-07-28,B1_7,TRSP2,11
nutnet,2013,2013-07-28,B1_7,VIOLA,5
nutnet,2013,2013-07-28,B1_8,2FORB,1
nutnet,2013,2013-07-28,B1_8,2GRAM,1
nutnet,2013,2013-07-28,B1_8,ALGE,11
nutnet,2013,2013-07-28,B1_8,ARFEF3,5
nutnet,2013,2013-07-28,B1_8,ARSC,1
nutnet,2013,2013-07-28,B1_8,CAPU,1
nutnet,2013,2013-07-28,B1_8,CARUD,13
nutnet,2013,2013-07-28,B1_8,CASC12,18
nutnet,2013,2013-07-28,B1_8,CAUN2,18
nutnet,2013,2013-07-28,B1_8,DECE,5
nutnet,2013,2013-07-28,B1_8,DRST4,1
nutnet,2013,2013-07-28,B1_8,ERSI3,1
nutnet,2013,2013-07-28,B1_8,FEBR,3
nutnet,2013,2013-07-28,B1_8,GERO2,15
nutnet,2013,2013-07-28,B1_8,HEMO3,4
nutnet,2013,2013-07-28,B1_8,KOMY,68
nutnet,2013,2013-07-28,B1_8,LLSE,3
nutnet,2013,2013-07-28,B1_8,MELA3,10
nutnet,2013,2013-07-28,B1_8,MIOB2,2
nutnet,2013,2013-07-28,B1_8,ORALA,28
nutnet,2013,2013-07-28,B1_8,PHPU5,2
nutnet,2013,2013-07-28,B1_8,POAL2,3
nutnet,2013,2013-07-28,B1_8,POBI6,2
nutnet,2013,2013-07-28,B1_8,PODI2,4
nutnet,2013,2013-07-28,B1_8,POVI3,0.25
nutnet,2013,2013-07-28,B1_8,SOSIN,1
nutnet,2013,2013-07-28,B1_8,TEGR3,4
nutnet,2013,2013-07-28,B1_8,TRSP2,8
nutnet,2013,2013-07-28,B1_8,VIOLA,1
nutnet,2013,2013-07-28,B1_9,2BARE,1
nutnet,2013,2013-07-28,B1_9,2LICHN,4
nutnet,2013,2013-07-28,B1_9,2LTR,1
nutnet,2013,2013-07-28,B1_9,2RF,4
nutnet,2013,2013-07-28,B1_9,ALGE,7
nutnet,2013,2013-07-28,B1_9,ARFEF3,1
nutnet,2013,2013-07-28,B1_9,ARSC,5
nutnet,2013,2013-07-28,B1_9,CARUD,34
nutnet,2013,2013-07-28,B1_9,CASC12,14
nutnet,2013,2013-07-28,B1_9,CAUN2,1
nutnet,2013,2013-07-28,B1_9,CEARS2,1
nutnet,2013,2013-07-28,B1_9,DECE,1
nutnet,2013,2013-07-28,B1_9,ERNA,1
nutnet,2013,2013-07-28,B1_9,FEBR,1
nutnet,2013,2013-07-28,B1_9,GERO2,25
nutnet,2013,2013-07-28,B1_9,KOMY,16
nutnet,2013,2013-07-28,B1_9,MELA3,2
nutnet,2013,2013-07-28,B1_9,MIOB2,11
nutnet,2013,2013-07-28,B1_9,ORALA,13
nutnet,2013,2013-07-28,B1_9,PEPA3,1
nutnet,2013,2013-07-28,B1_9,PHPU5,6
nutnet,2013,2013-07-28,B1_9,POARG,4
nutnet,2013,2013-07-28,B1_9,POBI6,1
nutnet,2013,2013-07-28,B1_9,PODI2,13
nutnet,2013,2013-07-28,B1_9,POPU3,8
nutnet,2013,2013-07-28,B1_9,POVI3,9
nutnet,2013,2013-07-28,B1_9,SEDES,7
nutnet,2013,2013-07-28,B1_9,SELA,0.25
nutnet,2013,2013-07-28,B1_9,SIACS2,5
nutnet,2013,2013-07-28,B1_9,TEACC,6
nutnet,2013,2013-07-28,B1_9,TEGR3,4
nutnet,2013,2013-07-28,B1_9,TRPAP,9
nutnet,2013,2013-07-28,B1_9,VIOLA,1
nutnet,2013,2013-07-26,B1_10,2LTR,2
nutnet,2013,2013-07-26,B1_10,ALGE,11
nutnet,2013,2013-07-26,B1_10,ANAL4,0.25
nutnet,2013,2013-07-26,B1_10,ANSE4,12
nutnet,2013,2013-07-26,B1_10,ARSC,6
nutnet,2013,2013-07-26,B1_10,CAREX,4
nutnet,2013,2013-07-26,B1_10,CARO2,5
nutnet,2013,2013-07-26,B1_10,CARUD,36
nutnet,2013,2013-07-26,B1_10,CAUN2,0.25
nutnet,2013,2013-07-26,B1_10,CEARS2,7
nutnet,2013,2013-07-26,B1_10,DECE,3
nutnet,2013,2013-07-26,B1_10,ERCA14,1
nutnet,2013,2013-07-26,B1_10,ERME2,2
nutnet,2013,2013-07-26,B1_10,ERNA,0.25
nutnet,2013,2013-07-26,B1_10,ERPI6,2
nutnet,2013,2013-07-26,B1_10,FEBR,15
nutnet,2013,2013-07-26,B1_10,GERO2,7
nutnet,2013,2013-07-26,B1_10,KOMY,5
nutnet,2013,2013-07-26,B1_10,LLSE,3
nutnet,2013,2013-07-26,B1_10,LUSP4,1
nutnet,2013,2013-07-26,B1_10,MELA3,6
nutnet,2013,2013-07-26,B1_10,MIOB2,16
nutnet,2013,2013-07-26,B1_10,ORALA,7
nutnet,2013,2013-07-26,B1_10,PAPU2,3
